reference,generated_summary
"Shelly is voluntering at a food shelter and asks if others do some volunteer work. Tracy is not into that, but Jody always does some charity for Christmas.",Shelly is volunteering at the food shelter this year. Tracy is not
Jim will check out Max's latest music project when he gets home.,Max sends Jim his latest music project. Jim will listen to it when he gets home and let him
Kane recommends the new 30 Seconds to Mars album to Shannon.,Shannon hasn't heard the new 30 seconds to mars album
Andy is going to visit Paul in about 1 hour.,"Andy will visit Paul in about 1 hour to have a coffee with him. They will talk about politics with Hannah's father, but Andy doesn't want to discuss politics with Paul."
Caroline and Megan play a guessing game - they need to guess which film a quote comes from.,Caroline is close to tugging on
Josh should check the email from Ron. ,Josh will check his email
Phoebe cannot go out today because she broke a bottle of her mother's expensive perfume. Phoebe's mother is angry. The smell of the perfume in the apartment is too intense now.,Phoebe's mum is angry with her because she used her perfume and broke it. Phoebe doesn't want to go out today because
Rob and Eve will meet on Sunday morning to go to the shops. Eve has something to do at about 3. ,Eve and Rob will meet up on Sunday. Eve has some stuff to do around 3.
Betty shares a photo of a man with a cat with Sandra. Sandra's ex wants to get back. She misses him. Betty comes over with wine at 6.,Sandra's ex-boyfriend recently broke up with her. Betty will be at Sandra's place at 6 and she will bring the wine.
Anna likes a new app in which you can virtually try on clothes. Peter is not quite convinced it is necessary.,"Anna has an app that allows you to add photos of clothes to your wardrobe. Peter doesn't get it. He has 5 or 6 pairs of trousers, 3 or 4 shirts, 2 jackets and 2 shirts."
Dan's had an injection with anaesthesis because he got swollen. He feels it's not working though and it still hurts him.,Dan got an injection with anaesthesis. It's not working any more and it hurts.
Archie is arriving from Southampton around midnight. He will travel by bus. He will call Judah.,"Archie will arrive from Southampton around midnight. He will be travelling to Judah's place by bus, so it"
Chloe will watch the serious recommended by Biwott at the weekend.,Chloe hasn't watched the series yet.
Lauren want's to have a small tattoo above her ankle.,Lauren wants to get a small tattoo above the ankle. Nelly is afraid of pain. Tessie knows a couple of guys who do it.
The toilet upstairs is blocked again. Wendy and David can't afford the plumber as Wendy spent the money on her sister's birthday present.,Wendy thinks the upstairs toilet might be blocked. They can't afford to pay the plumber this month. They will wait until next paycheck to fix it themselves.
Kaylen wants to know if there is left-hand traffic in Rowen's country. He confirms there is. She thinks she wouldn't be able to drive there.,"Kaylen sends a photo of herself to Rowen. In Rowen's country, left-hand traffic is"
Tom wants to go to Robinson Crusoe's island.,"Tom wants to go to a piece of land in the middle of nowhere. Jonathan, Kit and Oscar think it's insane, but Oscar is not"
"Titus agrees to help Emely with a language exercise. Emely sends Titus a photo of the filled out exercise, but he has trouble reading it.","Emely needs help with a task. She sends a photo of the task to Titus. He can't read it, but he can see it."
Marco will read Aldo's 12 page article that he spent 2 weeks writing.,Marco will print Aldo's article and read it right now. It's 12 pages long and took him weeks to
"Harris' friend, Aoki, who lives in Michigan, died yesterday. Harris hasn't seen her for a few months.",Harris' friend Aoki died yesterday. He hasn't seen her for a few months. She lives in Michigan. Lena's mom is calling.
"Hannah's New Year's resolutions are: work out, cook for herself, start dating. Brooklyn didn't make any. In the past she had, but she never fulfilled them. ","Hannah and Brooklyn have made New Year's resolutions for 2019. Hannah wants to lose weight and exercise, learn how to cook and start meal prepping, find her future husband and start using dating apps. Brooklyn doesn't want to make any resolutions."
"Trevor got Abigail pregnant. When they were having sex without protection her father, a church pastor, kicked Trevor in the butt and Trevor came inside Abigail. ",Trevor needs Richard's advice on how to break the news to his daughter Abigail's father. He is a church pastor. Trevor is going to ask him to pay the child support.
Jessica posts a lot regarding subjects she does nothing about in reality. Julia posts in a more genuine way. But Hillary thinks she does it to death and lacks real life.,"Julia and Gail like social media, but neither of them are addicted to it. Gail likes to spy on people. Julia was surprised when she found out that Jessica is going on a diet."
Miranda called Tom yesterday and spoke to him in a sweet way. Anne is angry with her because Anne is dating Tom.,Miranda called Tom yesterday. She knows Anne and Tom are dating. She wants to take Tom away from Anne. She is not Tom's type.
Barbara and Eva described their dietary requirements in the website given by Ella., company needs information for the catering company. Barbara and Eva are coming. Barbara flled out for mom
Sarah will arrive to New York on Thursday. Joshua expects to get a gift.,Sarah will reach New York on Thursday. Joshua will be waiting for her
Allison has got a scholarship.,Allison has got a scholarship. Maya and Sarah are proud of her. They will celebrate with her whenever they want.
Sam won't finish work till 5. Sam is bringing him over about 9 am. Sam will see Abdellilah in the morning. ,Sam is at work until 5. He will bring him over to Abdellilah
Betty and Phil are meeting at 6.30 to watch a thriller at the movies. They will have dinner at Phil's afterwards.,Betty and Phil will go to the cinema tonight. They will meet at 6.30. Betty will book the tickets on the cinema's website. They'll have dinner at home.
Robert has a new phone number starting with 304. Robert has lost his job and is looking for a new one. Serge offers to pass on Roberts CV to a contact. ,Robert is looking for a new job because he was laid off. Serge will send Robert his CV to a Belgian guy who is thinking of opening a new factory here.
Lily spent an amazing night with Thomas. Thomas is Romanian and comes from a very rich family.,Lily had an amazing night with Thomas. He is from an extremely rich family and works at the LSE in London. Lily expected him to be more boring and boring.
Sam wants to buy a custom dress as a surprise for his wife. It should be black and elegant. The store employee sent him some pictures for reference. Sam decided on the features he likes. His product number is 898998 and he will place the order on the company's website.,Sam is looking for a black dress for his wife. Sarah fashion makes dresses on order as per customer requirements. Sam will order the dress on the website.
Kamden hasn't used social media recently. He uses messenger only and wants to get Mckinley's photographs.,"Kamden hasn't seen Mckinley in a while because he's been off social media. Kamden uses chat on Facebook to keep up with good friends, but he doesn't spend much time on it."
"After work, Mike is going to go to the gym and then home. He invites Jason to bring some food and come over. They can play 2 on ps4.",Mike is going to the gym and then home. Jason will come over and they will play Destiny 2 on ps4.
